City_ID,City,Country,Date,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
121,Labuan,MY,2022-05-01 17:10:43,5.2767,81.91,75,100,5.1
122,Tikrit,IQ,2022-05-01 17:10:43,34.6071,80.37,32,1,13.0
123,Laem Sing,TH,2022-05-01 17:10:44,12.4816,83.14,86,100,4.03
124,Sioux Lookout,CA,2022-05-01 17:10:44,50.1001,38.12,100,100,4.81
125,Husavik,IS,2022-05-01 17:10:45,66.0449,29.41,70,100,13.98
126,Bengkulu,ID,2022-05-01 17:10:45,-3.8004,76.75,90,100,4.03
127,Moose Factory,CA,2022-05-01 17:10:46,51.2585,54.01,50,98,8.93
128,Rundu,NA,2022-05-01 17:10:46,-17.9333,70.23,39,57,3.94
129,Copiapo,CL,2022-05-01 17:10:47,-27.3667,58.69,32,79,4.5
130,Cabo San Lucas,MX,2022-05-01 17:10:47,22.8909,83.5,58,84,1.99
131,Soyo,AO,2022-05-01 17:10:48,-6.1349,78.84,89,100,5.08
132,Iqaluit,CA,2022-05-01 17:10:48,63.7506,23.7,79,100,7.54
133,Senneterre,CA,2022-05-01 17:10:49,48.3835,55.76,46,98,8.95
134,Necochea,AR,2022-05-01 17:10:04,-38.5473,53.8,65,95,12.86
135,Ribeira Brava,PT,2022-05-01 17:10:49,32.65,72.23,60,0,1.81
136,Carupano,VE,2022-05-01 17:10:50,10.6678,85.87,59,89,13.42
137,Qaanaaq,GL,2022-05-01 17:11:50,77.484,12.87,66,20,5.12
138,Palizada,MX,2022-05-01 17:11:51,18.25,94.05,45,72,6.53
139,Derzhavinsk,KZ,2022-05-01 17:11:51,51.1,54.36,58,92,12.73
140,Yabrud,SY,2022-05-01 17:11:52,33.9674,61.5,33,0,3.47
141,Ishigaki,JP,2022-05-01 17:11:52,24.3448,68.13,94,100,11.5
142,Bail Hongal,IN,2022-05-01 17:07:14,15.8167,81.23,50,12,14.88
143,Tiksi,RU,2022-05-01 17:11:53,71.6872,16.74,91,88,13.89
144,Kurilsk,RU,2022-05-01 17:11:53,45.2333,34.29,89,100,10.69
145,Hutchinson,US,2022-05-01 17:11:06,38.0608,66.72,27,0,4.61
146,Victoria,HK,2022-05-01 17:11:54,22.2855,65.25,92,100,5.99
147,Pangnirtung,CA,2022-05-01 17:11:24,66.1451,28.4,80,100,2.3
148,Ville-Marie,CA,2022-05-01 17:11:54,47.3335,61.02,34,87,11.72
149,Atar,MR,2022-05-01 17:11:55,20.5169,102.15,5,4,10.04
150,Puerto Carreno,CO,2022-05-01 17:11:55,6.189,85.86,64,91,2.55
151,Gunjur,GM,2022-05-01 17:11:56,13.2019,84.27,51,0,13.8
152,Bunia,CD,2022-05-01 17:11:56,1.5667,62.91,98,88,5.39
153,Lakes Entrance,AU,2022-05-01 17:11:57,-37.8811,51.17,81,38,6.8
154,Waingapu,ID,2022-05-01 17:07:40,-9.6567,78.91,85,55,8.05
155,Zhanaozen,KZ,2022-05-01 17:11:57,43.3,71.46,40,90,18.7
156,San Rafael,AR,2022-05-01 17:07:55,-34.6177,62.56,26,0,8.16
157,Lompoc,US,2022-05-01 17:11:58,34.6391,64.85,63,0,20.71
158,Beloha,MG,2022-05-01 17:11:58,-25.1667,68.18,84,10,4.83
159,Asfi,MA,2022-05-01 17:11:59,32.2994,68.02,66,2,17.31
160,Glens Falls,US,2022-05-01 17:10:16,43.3095,67.32,32,0,4.61
161,Oksfjord,NO,2022-05-01 17:11:59,70.2396,37.99,85,100,6.11
162,Tubuala,PA,2022-05-01 17:12:00,9.5167,82.83,80,100,7.16
163,Anadyr,RU,2022-05-01 17:12:00,64.75,14.5,85,0,11.18
164,Mahebourg,MU,2022-05-01 17:12:01,-20.4081,75.49,88,75,3.44
165,Priargunsk,RU,2022-05-01 17:12:01,50.3691,42.89,42,66,9.26
166,Mersing,MY,2022-05-01 17:09:28,2.4312,79.03,88,93,4.09
167,Mnogovershinnyy,RU,2022-05-01 17:12:02,53.9353,25.81,98,100,1.01
168,Port Blair,IN,2022-05-01 17:12:03,11.6667,83.57,73,57,4.05
169,Conde,BR,2022-05-01 17:12:03,-7.2597,80.06,89,75,11.5
170,Lagoa,PT,2022-05-01 17:12:04,39.05,61.97,76,24,1.74
171,Tara,RU,2022-05-01 17:12:04,56.8944,34.21,99,100,5.75
172,Touros,BR,2022-05-01 17:12:05,-5.1989,85.01,67,84,16.42
173,Cap Malheureux,MU,2022-05-01 17:12:05,-19.9842,75.47,81,6,1.99
174,Deer Lake,CA,2022-05-01 17:12:06,49.1667,37.69,98,100,4.76
175,Teguldet,RU,2022-05-01 17:07:56,57.3064,38.08,73,100,9.62
176,Bara,NG,2022-05-01 17:12:06,10.3744,100.96,24,98,3.33
177,Hilo,US,2022-05-01 17:12:07,19.7297,73.27,94,100,13.8
178,Upernavik,GL,2022-05-01 17:12:07,72.7868,13.93,64,92,4.32
179,Ribeira Grande,PT,2022-05-01 17:12:08,38.5167,66.6,77,75,4.61
180,Caravelas,BR,2022-05-01 17:10:42,-17.7125,83.14,58,0,8.21
181,Meulaboh,ID,2022-05-01 17:12:08,4.1363,77.68,87,100,3.31
182,Cherskiy,RU,2022-05-01 17:12:09,68.75,8.4,92,18,6.89
183,Chokurdakh,RU,2022-05-01 17:12:09,70.6333,15.3,96,38,7.81
184,Faya,SA,2022-05-01 17:13:10,18.3851,66.72,57,22,6.02
185,Porosozero,RU,2022-05-01 17:13:11,62.7191,34.03,91,99,3.13
186,Joshimath,IN,2022-05-01 17:13:11,30.5667,60.19,61,48,6.24
187,Barra Do Pirai,BR,2022-05-01 17:10:50,-22.47,83.37,51,8,3.15
188,Isfana,KG,2022-05-01 17:13:12,39.8386,57.76,43,100,1.77
189,Erenhot,CN,2022-05-01 17:08:29,43.6475,54.64,42,53,0.36
190,Cape Town,ZA,2022-05-01 17:10:52,-33.9258,64.11,73,0,13.0
191,Gat,IL,2022-05-01 17:13:12,31.61,67.41,100,2,4.03
192,Shiyan,CN,2022-05-01 17:13:13,32.6475,53.62,52,48,6.67
193,Trincomalee,LK,2022-05-01 17:13:13,8.5711,83.84,72,99,12.64
194,Hofn,IS,2022-05-01 17:13:14,64.2539,39.7,86,51,13.18
195,Narsaq,GL,2022-05-01 17:13:14,60.9167,46.62,72,58,4.0
196,Vestmannaeyjar,IS,2022-05-01 17:13:15,63.4427,49.19,71,0,14.97
197,Karratha,AU,2022-05-01 17:13:15,-20.7377,82.17,50,98,7.49
